grade,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
K,"12,213","12,065","11,860","11,855","11,664","11,416","11,819","10,438","11,233","10,963","11,728","11,829","11,702","12,276","12,123","12,361","12,423","12,486","12,548","12,611","12,673","12,736","12,798","12,860","12,923","12,984","13,047","13,109","13,172","13,234"
1,"12,592","12,388","12,372","12,173","11,982","11,790","11,700","11,456","11,129","11,629","12,199","12,100","12,205","12,073","12,665","12,508","12,753","12,817","12,882","12,946","13,011","13,075","13,140","13,204","13,268","13,333","13,396","13,461","13,525","13,590"
2,"12,417","12,646","12,498","12,625","12,323","12,040","12,031","11,360","11,574","11,264","11,776","12,353","12,253","12,359","12,225","12,825","12,665","12,914","12,979","13,044","13,110","13,175","13,240","13,305","13,371","13,436","13,501","13,565","13,631","13,696"
3,"12,016","12,286","12,591","12,509","12,642","12,218","12,185","11,683","11,351","11,496","11,248","11,759","12,335","12,235","12,341","12,208","12,807","12,648","12,896","12,961","13,026","13,091","13,156","13,221","13,287","13,352","13,417","13,482","13,546","13,611"
4,"11,449","11,929","12,429","12,728","12,529","12,674","12,409","12,005","11,715","11,360","11,543","11,294","11,807","12,385","12,285","12,391","12,257","12,859","12,699","12,948","13,013","13,079","13,144","13,210","13,275","13,340","13,406","13,471","13,537","13,601"
5,"12,196","11,428","12,052","12,682","12,813","12,622","12,821","12,246","11,998","11,766","11,426","11,610","11,360","11,876","12,458","12,356","12,463","12,329","12,934","12,773","13,023","13,089","13,155","13,221","13,287","13,352","13,418","13,484","13,550","13,616"
6,"11,814","12,086","11,423","12,065","12,625","12,696","12,586","12,475","12,047","11,776","11,624","11,289","11,470","11,223","11,733","12,308","12,208","12,313","12,180","12,778","12,619","12,866","12,931","12,997","13,062","13,127","13,192","13,257","13,322","13,387"
7,"12,133","11,981","12,212","11,611","12,209","12,733","12,880","12,577","12,567","12,173","11,908","11,655","11,315","11,499","11,249","11,764","12,346","12,245","12,352","12,217","12,822","12,661","12,911","12,977","13,042","13,108","13,174","13,240","13,305","13,371"
8,"11,766","12,252","12,102","12,246","11,782","12,303","12,824","12,917","12,681","12,617","12,276","12,009","11,754","11,412","11,597","11,345","11,864","12,451","12,349","12,457","12,321","12,931","12,768","13,021","13,087","13,153","13,220","13,286","13,352","13,419"
9,"12,854","13,278","13,663","13,366","13,751","13,263","14,068","14,003","15,679","14,822","14,554","14,159","13,849","13,670","13,273","13,488","13,195","13,798","14,478","14,360","14,485","14,327","15,034","14,846","15,138","15,215","15,292","15,369","15,446","15,523"
10,"11,619","11,865","12,385","12,994","12,717","12,899","12,535","13,354","13,178","13,835","13,588","13,405","13,040","12,754","12,588","12,222","12,420","12,150","12,707","13,334","13,225","13,341","13,196","13,848","13,675","13,945","14,016","14,087","14,158","14,229"
11,"10,539","10,919","11,056","11,764","12,246","12,217","12,396","12,274","12,527","12,628","13,115","12,969","12,794","12,445","12,171","12,012","11,661","11,851","11,592","12,126","12,727","12,622","12,733","12,594","13,219","13,052","13,311","13,379","13,447","13,515"
12,"9,692","10,061","10,537","10,931","11,146","11,600","11,653","12,095","11,387","12,083","12,066","12,500","12,360","12,193","11,858","11,597","11,445","11,110","11,291","11,044","11,553","12,128","12,028","12,134","12,001","12,598","12,439","12,686","12,751","12,816"
Total,"153,300","155,184","157,180","159,549","160,429","160,471","161,907","158,883","159,066","158,412","159,051","158,931","158,244","158,400","158,566","159,385","160,507","161,971","163,887","165,599","167,608","169,121","170,234","171,438","172,635","173,995","174,829","175,876","176,742","177,608"
